"id","deaths"
"0001","9"
"0002","13"
"0003","12"
"0004","11"
"0005","8"
"0006","4"
"0007","7"
"0008","14"
"0009","11"
"0010","16"
"0011","9"
"0012","7"
"0013","10"
"0014","16"
"0015","12"
"0016","12"
"0017","6"
"0018","13"
"0019","9"
"0020","11"
"0021","10"
"0022","11"
"0023","10"
"0024","9"
"0025","15"
"0026","11"
"0027","5"
"0028","17"
"0029","10"
"0030","8"
"0031","9"
"0032","9"
"0033","8"
"0034","12"
"0035","9"
"0036","5"
"0037","9"
"0038","12"
"0039","7"
"0040","10"
"0041","9"
"0042","9"
"0043","7"
"0044","10"
"0045","12"
"0046","7"
"0047","10"
"0048","13"
"0049","14"
"0050","5"
"0051","12"
"0052","8"
"0053","8"
"0054","11"
"0055","13"
"0056","8"
"0057","6"
"0058","11"
"0059","7"
"0060","10"
"0061","8"
"0062","12"
"0063","14"
"0064","6"
"0065","12"
"0066","11"
"0067","8"
"0068","10"
"0069","10"
"0070","10"
"0071","7"
"0072","16"
"0073","11"
"0074","13"
"0075","9"
"0076","9"
"0077","10"
"0078","9"
"0079","13"
"0080","12"
"0081","11"
"0082","9"
"0083","6"
"0084","10"
"0085","9"
"0086","13"
"0087","7"
"0088","8"
"0089","11"
"0090","13"
"0091","6"
"0092","13"
"0093","9"
"0094","11"
"0095","14"
"0096","12"
"0097","7"
"0098","11"
"0099","7"
"0100","13"
"0101","13"
"0102","6"
"0103","6"
"0104","7"
"0105","8"
"0106","21"
"0107","18"
"0108","10"
"0109","9"
"0110","9"
"0111","13"
"0112","12"
"0113","7"
"0114","7"
"0115","6"
"0116","12"
"0117","12"
"0118","15"
"0119","13"
"0120","11"
"0121","3"
"0122","15"
"0123","5"
"0124","6"
"0125","10"
"0126","9"
"0127","13"
"0128","11"
"0129","10"
"0130","10"
"0131","9"
"0132","12"
"0133","7"
"0134","16"
"0135","11"
"0136","14"
"0137","12"
"0138","7"
"0139","11"
"0140","4"
"0141","13"
"0142","7"
"0143","12"
"0144","11"
"0145","13"
"0146","4"
"0147","15"
"0148","7"
"0149","9"
"0150","12"
"0151","15"
"0152","9"
"0153","10"
"0154","9"
"0155","8"
"0156","13"
"0157","9"
"0158","9"
"0159","6"
"0160","7"
"0161","12"
"0162","15"
"0163","11"
"0164","9"
"0165","13"
"0166","11"
"0167","11"
"0168","9"
"0169","12"
"0170","16"
"0171","8"
"0172","12"
"0173","3"
"0174","14"
"0175","7"
"0176","8"
"0177","9"
"0178","10"
"0179","10"
"0180","12"
"0181","15"
"0182","12"
"0183","7"
"0184","4"
"0185","7"
"0186","14"
"0187","13"
"0188","11"
"0189","8"
"0190","21"
"0191","8"
"0192","4"
"0193","14"
"0194","12"
"0195","10"
"0196","12"
"0197","6"
"0198","9"
"0199","14"
"0200","14"
"0201","11"
"0202","9"
"0203","12"
"0204","6"
"0205","5"
"0206","15"
"0207","8"
"0208","8"
"0209","13"
"0210","13"
"0211","12"
"0212","7"
"0213","11"
"0214","6"
"0215","9"
"0216","13"
"0217","11"
"0218","13"
"0219","8"
"0220","7"
"0221","13"
"0222","12"
"0223","9"
"0224","17"
"0225","8"
"0226","10"
"0227","3"
"0228","5"
"0229","17"
"0230","10"
"0231","13"
"0232","11"
"0233","10"
"0234","11"
"0235","9"
"0236","5"
"0237","11"
"0238","17"
"0239","11"
"0240","13"
"0241","8"
"0242","10"
"0243","9"
"0244","14"
"0245","10"
"0246","11"
"0247","5"
"0248","8"
"0249","12"
"0250","8"
"0251","10"
"0252","15"
"0253","10"
"0254","9"
"0255","5"
"0256","10"
"0257","11"
"0258","8"
"0259","2"
"0260","13"
"0261","9"
"0262","10"
"0263","7"
"0264","15"
"0265","10"
"0266","13"
"0267","10"
"0268","9"
"0269","9"
"0270","13"
"0271","8"
"0272","8"
"0273","10"
"0274","9"
"0275","10"
"0276","8"
"0277","10"
"0278","10"
"0279","8"
"0280","13"
"0281","6"
"0282","5"
"0283","8"
"0284","7"
"0285","6"
"0286","9"
"0287","11"
"0288","13"
"0289","9"
"0290","8"
"0291","12"
"0292","12"
"0293","12"
"0294","9"
"0295","8"
"0296","6"
"0297","9"
"0298","9"
"0299","9"
"0300","13"
"0301","10"
"0302","12"
"0303","11"
"0304","4"
"0305","15"
"0306","11"
"0307","11"
"0308","12"
"0309","9"
"0310","7"
"0311","10"
"0312","11"
"0313","8"
"0314","7"
"0315","8"
"0316","12"
"0317","6"
"0318","15"
"0319","6"
"0320","10"
"0321","16"
"0322","5"
"0323","8"
"0324","12"
"0325","9"
"0326","12"
"0327","10"
"0328","4"
"0329","8"
"0330","7"
"0331","10"
"0332","10"
"0333","10"
"0334","15"
"0335","9"
"0336","19"
"0337","6"
"0338","14"
"0339","14"
"0340","14"
"0341","14"
"0342","9"
"0343","7"
"0344","10"
"0345","10"
"0346","10"
"0347","7"
"0348","11"
"0349","7"
"0350","14"
"0351","10"
"0352","8"
"0353","13"
"0354","9"
"0355","13"
"0356","12"
"0357","7"
"0358","6"
"0359","8"
"0360","5"
"0361","14"
"0362","14"
"0363","15"
"0364","11"
"0365","9"
"0366","7"
"0367","13"
"0368","14"
"0369","12"
"0370","11"
"0371","11"
"0372","10"
"0373","7"
"0374","6"
"0375","7"
"0376","10"
"0377","12"
"0378","13"
"0379","10"
"0380","7"
"0381","10"
"0382","10"
"0383","9"
"0384","12"
"0385","17"
"0386","9"
"0387","13"
"0388","12"
"0389","7"
"0390","13"
"0391","12"
"0392","11"
"0393","5"
"0394","13"
"0395","11"
"0396","12"
"0397","8"
"0398","7"
"0399","6"
"0400","17"
"0401","12"
"0402","5"
"0403","7"
"0404","9"
"0405","9"
"0406","13"
"0407","6"
"0408","2"
"0409","10"
"0410","8"
"0411","10"
"0412","15"
"0413","10"
"0414","10"
"0415","23"
"0416","9"
"0417","18"
"0418","9"
"0419","11"
"0420","16"
"0421","10"
"0422","11"
"0423","10"
"0424","11"
"0425","13"
"0426","6"
"0427","9"
"0428","9"
"0429","9"
"0430","10"
"0431","15"
"0432","17"
"0433","9"
"0434","9"
"0435","9"
"0436","4"
"0437","10"
"0438","6"
"0439","16"
"0440","7"
"0441","13"
"0442","15"
"0443","6"
"0444","8"
"0445","11"
"0446","8"
"0447","11"
"0448","3"
"0449","12"
"0450","13"
"0451","11"
"0452","6"
"0453","13"
"0454","14"
"0455","13"
"0456","7"
"0457","10"
"0458","14"
"0459","8"
"0460","19"
"0461","10"
"0462","11"
"0463","8"
"0464","8"
"0465","13"
"0466","14"
"0467","18"
"0468","12"
"0469","10"
